job_id,arrival_time,duration,gpu_milli,num_gpus
186,10169200.00,2178.00,1000,1
187,10172374.00,3231.00,470,1
188,10174699.00,187.00,470,1
189,10174703.00,724.00,1000,1
190,10174773.00,960.00,460,1
191,10174834.00,32400.00,460,1
192,10174996.00,4772.00,1000,1
193,10175575.00,2428.00,160,1
194,10176577.00,6817.00,1000,1
195,10176964.00,36083.00,1000,1
196,10177954.00,539.00,460,1
197,10178628.00,5241.00,470,1
198,10178696.00,701.00,470,1
199,10180259.00,279.00,160,1
200,10180270.00,166.00,470,1
201,10180454.00,34061.00,1000,1
202,10181257.00,26697.00,460,1
203,10181304.00,9033.00,470,1
204,10182641.00,495.00,470,1
205,10187075.00,4020.00,1000,1
206,10188246.00,1432.00,1000,1
207,10189447.00,946.00,470,1
208,10189534.00,539.00,460,1
209,10191093.00,32042.00,1000,1
210,10191770.00,97.00,470,1
211,10192232.00,675.00,470,1
212,10192336.00,678.00,470,1
213,10192889.00,2482.00,1000,1
214,10192901.00,11946.00,470,1
215,10192962.00,473.00,470,1
216,10193027.00,2555.00,230,1
217,10193568.00,738.00,1000,1
218,10194497.00,4084.00,1000,1
219,10195056.00,1200.00,1000,1
220,10195438.00,1707.00,1000,2
221,10196373.00,7680.00,1000,1
222,10196386.00,4853.00,1000,1
223,10196392.00,2152.00,1000,1
224,10196397.00,13575.00,1000,1
225,10196546.00,13313.00,1000,1
226,10196555.00,1499.00,1000,1
227,10196738.00,475.00,1000,1
228,10196808.00,1253.00,1000,1
229,10197068.00,10383.00,1000,1
230,10198109.00,533.00,320,1
231,10198508.00,6393.00,1000,1
232,10198800.00,3455.00,1000,1
233,10199343.00,316.00,230,1
234,10200098.00,153.00,110,1
235,10200592.00,792.00,1000,1
236,10200882.00,556.00,320,1
237,10201724.00,450.00,320,1
238,10202555.00,5849.00,460,1
239,10203067.00,113.00,1000,1
240,10203558.00,6582.00,320,1
241,10203567.00,6514.00,320,1
242,10203864.00,401.00,160,1
243,10203963.00,70.00,470,1
244,10204481.00,41280.00,230,1
245,10204608.00,2376.00,230,1
246,10204958.00,3630.00,1000,1
247,10205784.00,4296.00,220,1
248,10206323.00,468.00,230,1
249,10206725.00,536.00,470,1
250,10207027.00,2545.00,1000,1
251,10208723.00,104.00,470,1
252,10208961.00,5497.00,470,1
253,10209700.00,247.00,230,1
254,10209881.00,2934.00,1000,1
255,10209881.00,2944.00,1000,1
256,10211442.00,88.00,470,1
257,10211861.00,740.00,1000,1
258,10211972.00,144.00,230,1
259,10212621.00,105.00,230,1
260,10212828.00,3457.00,1000,1
261,10213190.00,2468.00,1000,1
262,10213546.00,9450.00,470,1
263,10213806.00,239.00,1000,1
264,10214358.00,515.00,650,1
265,10214440.00,250.00,650,1
266,10214507.00,59003.00,810,1
267,10216472.00,2180.00,1000,1
268,10217925.00,1561.00,1000,1
269,10217925.00,222.00,1000,1
270,10217931.00,1519.00,1000,1
271,10219969.00,7281.00,1000,1
272,10220673.00,599.00,460,1
273,10223133.00,960.00,1000,1
274,10225414.00,464.00,230,1
275,10232803.00,447.00,480,1
276,10232974.00,1741.00,460,1
277,10234226.00,531.00,1000,1
278,10235081.00,5294.00,1000,1
279,10235553.00,2700.00,1000,1
280,10237589.00,4026.00,1000,1
281,10237776.00,780.00,1000,1
282,10237776.00,780.00,1000,1
283,10240480.00,6483.00,1000,1
284,10244313.00,1619.00,460,1
285,10245093.00,900.00,460,1
286,10247202.00,4156.00,1000,1
287,10247867.00,6945.00,1000,1
288,10248468.00,10084.00,320,1
289,10248939.00,1045.00,1000,1
290,10250349.00,5946.00,1000,1
291,10250498.00,234312.00,1000,1
292,10250736.00,4142.00,1000,1
293,10253468.00,689.00,1000,1
294,10255346.00,229.00,1000,1
295,10255420.00,4804.00,1000,1
296,10256013.00,780.00,1000,1
297,10256133.00,1799.00,1000,1
298,10256855.00,1199.00,1000,1
299,10256862.00,1546.00,1000,1
300,10259147.00,146.00,470,1
301,10260162.00,84.00,1000,1
302,10260412.00,91.00,230,1
303,10260448.00,321.00,470,1
304,10260513.00,660.00,460,1
305,10260773.00,134.00,230,1
306,10260845.00,1139.00,1000,1
307,10260976.00,234.00,230,1
308,10261103.00,785.00,1000,1
309,10261187.00,773.00,1000,1
310,10261340.00,6524.00,1000,1
311,10261372.00,5717.00,1000,1
312,10261763.00,391.00,1000,1
313,10262406.00,415.00,230,1
314,10262527.00,7619.00,1000,1
315,10262679.00,14880.00,1000,1
316,10263507.00,58.00,350,1
317,10265011.00,9305.00,1000,1
318,10265140.00,1665.00,1000,1
319,10265558.00,16318.00,1000,1
320,10266148.00,100.00,230,1
321,10266884.00,195.00,230,1
322,10266902.00,347.00,1000,1
323,10267235.00,7082.00,1000,1
324,10267517.00,2480.00,470,1
325,10267882.00,6309.00,1000,1
326,10268198.00,23170.00,1000,1
327,10269999.00,219.00,230,1
328,10272218.00,72.00,230,1
329,10272751.00,150.00,230,1
330,10273015.00,155.00,230,1
331,10273175.00,290.00,230,1
332,10274502.00,1266.00,1000,1
333,10276050.00,284.00,1000,1
334,10277009.00,204.00,230,1
335,10278278.00,270.00,1000,1
336,10279624.00,4903.00,1000,1
337,10280815.00,967.00,1000,1
338,10281304.00,958.00,1000,1
339,10281564.00,2004.00,1000,1
340,10281756.00,5429.00,1000,1
341,10281935.00,1019.00,460,1
