scheduler,arrived_workload_pct,frag_rate,run
Random,15.0,16.983151519517012,6
Random,20.0,17.99464529388586,6
Random,25.0,19.006676538691302,6
Random,30.0,20.223621573255134,6
Random,35.0,21.99117160554731,6
Random,40.0,23.81281553114292,6
Random,45.0,26.2051621086843,6
Random,50.0,29.003395625946098,6
Random,55.0,32.65949063345587,6
Random,60.0,36.69353041789393,6
Random,65.0,41.49238778080775,6
Random,70.0,48.80612835511947,6
Random,75.0,57.464244789822224,6
Random,80.0,70.97341298114802,6
Random,85.0,90.4410091505073,6
Random,90.0,98.33123946405829,6
Random,95.0,98.94083225961137,6
Random,100.0,99.11758778095916,6
Random,105.0,99.19103550366009,6
Random,110.0,99.3481107619468,6
Random,115.0,99.47856267827952,6
Random,120.0,99.4876199880963,6
Random,5.0,15.133592805576457,7
Random,10.0,16.311707141827917,7
Random,15.0,17.401855498474877,7
Random,20.0,18.383426775789154,7
Random,25.0,19.657669403644643,7
Random,30.0,20.76942945990279,7
Random,35.0,22.09601779773871,7
Random,40.0,24.00108338146133,7
Random,45.0,26.14255146916728,7
Random,50.0,28.492717530369543,7
Random,55.0,31.858312524505912,7
Random,60.0,36.19200426489684,7
Random,65.0,42.31385759310079,7
Random,70.0,49.205907985857124,7
Random,75.0,58.32398678404799,7
Random,80.0,71.42988695736872,7
Random,85.0,91.11800348283874,7
Random,90.0,98.04643794674203,7
Random,95.0,98.85159076211318,7
Random,100.0,98.99276719001946,7
Random,105.0,99.09032752339606,7
Random,110.0,99.24282115419831,7
Random,115.0,99.41274184401561,7
Random,120.0,99.46779515323371,7
Random,5.0,14.867519356334633,8
Random,10.0,15.789755184984305,8
Random,15.0,16.940739535896913,8
Random,20.0,18.108396362590998,8
Random,25.0,19.362187673249487,8
Random,30.0,20.4755631432242,8
Random,35.0,21.821036110423144,8
Random,40.0,23.49643408127803,8
Random,45.0,25.74159372322844,8
Random,50.0,28.521379391304848,8
Random,55.0,31.485677543742746,8
Random,60.0,34.6665971587189,8
Random,65.0,39.27815072965524,8
Random,70.0,45.742615205677076,8
Random,75.0,53.78687065832699,8
Random,80.0,64.69679428501762,8
Random,85.0,82.11262762868803,8
Random,90.0,96.22999609081016,8
Random,95.0,98.79166022285136,8
Random,100.0,99.03894111185204,8
Random,105.0,99.1742414467181,8
Random,110.0,99.29930138934444,8
Random,115.0,99.38629509824298,8
Random,120.0,99.46293796919662,8
Random,5.0,15.026264785313279,9
Random,10.0,16.08058633822462,9
Random,15.0,17.04407063613308,9
Random,20.0,18.13320950057196,9
Random,25.0,19.374020172319327,9
Random,30.0,20.6940796768806,9
Random,35.0,22.123168207828712,9
Random,40.0,23.85136233685074,9
Random,45.0,25.787915374740223,9
Random,50.0,28.221295348229937,9
Random,55.0,31.309775875482316,9
Random,60.0,35.39929154751667,9
Random,65.0,41.13660631452998,9
Random,70.0,47.1841061389561,9
Random,75.0,55.8890170993365,9
Random,80.0,66.9490246788358,9
Random,85.0,84.46804394689511,9
Random,90.0,97.82534209815248,9
Random,95.0,98.90506546231835,9
Random,100.0,99.1052557917991,9
Random,105.0,99.23466280066484,9
Random,110.0,99.34060887428735,9
Random,115.0,99.44345832862432,9
Random,120.0,99.45412084149018,9
BestFit,5.0,15.182569731917505,0
BestFit,10.0,15.503562150954794,0
BestFit,15.0,15.749505709991027,0
BestFit,20.0,16.270910922566017,0
BestFit,25.0,16.741189181749853,0
BestFit,30.0,17.343699224218252,0
BestFit,35.0,17.9892594725547,0
BestFit,40.0,18.813333174847568,0
BestFit,45.0,19.890179240786367,0
BestFit,50.0,21.147410711291332,0
BestFit,55.0,22.537531908428125,0
BestFit,60.0,24.286361629314552,0
BestFit,65.0,26.56122791465197,0
BestFit,70.0,29.600347940870737,0
BestFit,75.0,34.02651031296558,0
BestFit,80.0,40.422454041752545,0
BestFit,85.0,50.6016905108605,0
BestFit,90.0,71.92993626356248,0
BestFit,95.0,99.58901407610121,0
BestFit,100.0,99.61464816527761,0
BestFit,105.0,99.61730035614576,0
BestFit,110.0,99.62019934010027,0
BestFit,115.0,99.62564226471869,0
BestFit,120.0,99.63295968650795,0
BestFit,5.0,15.50971653824871,1
BestFit,10.0,15.763380133128582,1
BestFit,15.0,16.085158453280073,1
BestFit,20.0,16.64765260145365,1
BestFit,25.0,17.20020423358737,1
BestFit,30.0,17.93183014057479,1
BestFit,35.0,18.611425144536383,1
BestFit,40.0,19.34530725419677,1
BestFit,45.0,20.379620573658237,1
BestFit,50.0,21.500815477640085,1
BestFit,55.0,22.976910537895908,1
