figure,source,role,policy,jobs_per_hr,seed,saturated,n_window_jobs,mean,p10,p50,p75,p90,p99,p99.9,p100
fig10,ours,baseline,max_min_fairness,2.8,all,True,2997,166.84043343968108,1.545883002387153,7.6682666015625,27.453504774305557,145.4933368055556,2716.0759222222205,15193.06579111156,29603.042222222222
fig10,ours,baseline,max_min_fairness,3.0,0,True,994,363.87120075040764,1.6431409505208334,8.312424858940972,29.374434136284723,161.4573055555556,9024.067866666543,12552.585434444465,12889.557777777778
fig10,ours,baseline,max_min_fairness,3.0,1,True,995,603.5252599896592,1.5541866590711806,7.540701497395833,29.08921332465278,129.2204045138889,12905.60551111111,14589.659991111132,14825.825555555555
fig10,ours,baseline,max_min_fairness,3.0,2,True,953,26.86153136285491,1.4919693196614583,6.884329427083333,22.027230902777777,76.49491493055564,257.45244166666686,435.1869355555723,573.295625
fig10,ours,baseline,max_min_fairness,3.0,all,True,2942,335.7561681252267,1.5586168348524305,7.472954644097222,26.679402669270832,113.57793402777779,10938.542822222224,13242.106222222246,14825.825555555555
fig10,ours,gavel,max_min_fairness_perf,0.2,0,False,1000,18.26920722303602,1.0017921210394967,5.458958333333333,14.882483995225694,57.41577430555557,153.35055329861112,163.6665140625001,164.93625
fig10,ours,gavel,max_min_fairness_perf,0.2,1,False,1000,16.88418417449951,1.0042682834201389,4.922086588541667,14.099604763454861,55.03399435763889,145.66758749999997,162.68180409722225,163.18331597222223
fig10,ours,gavel,max_min_fairness_perf,0.2,2,False,1000,17.214062044949003,0.9221115315755208,5.167111545138889,14.123780653211805,52.62879036458334,146.26066562499997,162.27798677083368,166.11161458333333
fig10,ours,gavel,max_min_fairness_perf,0.2,all,False,3000,17.45581781416151,0.982852057562934,5.165832790798611,14.315521918402778,55.11860286458332,148.50513559027775,163.18379789930566,166.11161458333333
fig10,ours,gavel,max_min_fairness_perf,0.4,0,False,1000,18.25927374220106,1.1448409423828125,5.39995361328125,14.670970594618055,58.99171571180559,153.44947256944445,161.56353513888965,170.05545138888888
fig10,ours,gavel,max_min_fairness_perf,0.4,1,False,1000,16.863777092963325,1.1259095730251736,4.961188693576389,13.873150227864583,54.16748177083334,145.43525572916667,160.3665560590281,163.98496527777777
fig10,ours,gavel,max_min_fairness_perf,0.4,2,False,1000,17.1267033827379,1.0926135728624131,5.066259223090277,13.512903645833333,52.62503125,147.37188194444443,162.94884576388918,166.1317013888889
fig10,ours,gavel,max_min_fairness_perf,0.4,all,False,3000,17.416584739300763,1.1180654839409723,5.11904513888889,14.05181179470486,54.97395182291666,148.20449947916657,162.94669902777798,170.05545138888888
fig10,ours,gavel,max_min_fairness_perf,0.6,0,False,1000,18.256145994873048,1.2028122151692708,5.169875759548611,14.729647623697916,58.963926215277795,153.3648298611111,165.4353045312508,174.44609375
fig10,ours,gavel,max_min_fairness_perf,0.6,1,False,1000,16.847350527445478,1.196050808376736,4.977825520833333,14.23705349392361,53.99418619791667,144.50517664930553,160.61637567708362,164.00255208333334
fig10,ours,gavel,max_min_fairness_perf,0.6,2,False,1000,17.170526917453337,1.1538472357855902,5.138628472222223,13.459644911024306,52.799657552083346,146.2429022569444,162.31152210069487,166.97131944444445
fig10,ours,gavel,max_min_fairness_perf,0.6,all,False,3000,17.424674479923954,1.1752812228732639,5.1119590928819445,14.235869683159724,54.12442881944444,148.8661637152777,164.00397581597252,174.44609375
fig10,ours,gavel,max_min_fairness_perf,0.8,0,False,1000,18.09861007107205,1.2277743869357638,5.048772515190972,14.51976318359375,56.05657248263893,152.06558524305552,166.8654760243077,190.56430555555556
fig10,ours,gavel,max_min_fairness_perf,0.8,1,False,1000,16.774664800381128,1.1998113878038195,4.977490234375,14.155704481336805,53.41042187500001,144.1779591145833,160.44488196180592,164.26399305555555
fig10,ours,gavel,max_min_fairness_perf,0.8,2,False,1000,17.010298117845327,1.2177521158854168,5.000827094184028,13.527923448350695,52.97732855902778,150.95011493055554,163.10791625000033,166.76703125
fig10,ours,gavel,max_min_fairness_perf,0.8,all,False,3000,17.294524329766165,1.214091349283854,5.028675401475694,14.106570638020834,53.99837803819441,148.6498494791664,164.2664960937505,190.56430555555556
fig10,ours,gavel,max_min_fairness_perf,1.0,0,False,1000,17.763332466634115,1.2003962537977433,4.8389520941840285,14.383508029513889,55.07385503472224,152.0956550347222,167.1276135590334,229.66121527777779
fig10,ours,gavel,max_min_fairness_perf,1.0,1,False,1000,16.570346047668455,1.1671834309895834,4.850518391927084,14.0432470703125,53.09896050347222,144.7698123263889,160.50057692708367,164.07739583333333
fig10,ours,gavel,max_min_fairness_perf,1.0,2,False,1000,16.773797977091473,1.1396881578233506,4.754105631510416,13.459002821180556,52.28203038194447,150.07833784722223,169.7009473263889,169.74545138888888
fig10,ours,gavel,max_min_fairness_perf,1.0,all,False,3000,17.03582549713135,1.1706181911892362,4.818499620225694,13.782255859375,53.52117881944443,147.92528958333324,167.0676532465283,229.66121527777779
fig10,ours,gavel,max_min_fairness_perf,1.2,0,False,1000,17.67446087093777,1.1868098958333333,4.718735351562501,14.066449381510417,54.343930121527784,152.04985104166664,165.3457361458444,288.0077083333333
fig10,ours,gavel,max_min_fairness_perf,1.2,1,False,1000,16.33293338921441,1.0845350748697917,4.638331434461806,13.820669216579862,51.66509722222225,144.2119167534722,160.79606444444474,164.21819444444444
fig10,ours,gavel,max_min_fairness_perf,1.2,2,False,1000,16.637462312723798,1.0926546969943576,4.591648491753473,13.410545789930556,52.79340321180556,149.1405690972222,178.87500697916755,188.76791666666668
fig10,ours,gavel,max_min_fairness_perf,1.2,all,False,3000,16.881618857625323,1.1259115668402777,4.643304036458334,13.779372287326389,53.52882118055555,148.35204513888883,166.4686415104192,288.0077083333333
fig10,ours,gavel,max_min_fairness_perf,1.4,0,False,1000,17.66894536397298,1.1467329915364584,4.639042968749999,14.271500379774306,55.742865885416705,148.2357111111111,171.66148345487505,326.1326736111111
fig10,ours,gavel,max_min_fairness_perf,1.4,1,False,1000,16.19783415395101,1.1308906860351562,4.490923258463542,13.55972439236111,51.57519921875,144.4057097222222,160.97953026041688,163.38932291666666
fig10,ours,gavel,max_min_fairness_perf,1.4,2,False,1000,16.532085919053817,1.121095709906684,4.600496419270833,13.528333333333332,49.584429687500034,147.40714305555554,187.17198243055702,203.42633680555556
fig10,ours,gavel,max_min_fairness_perf,1.4,all,False,3000,16.799621812325935,1.1322316351996526,4.553018663194445,13.635997992621528,53.133207031249974,147.76567951388887,173.1703535243084,326.1326736111111
fig10,ours,gavel,max_min_fairness_perf,1.6,0,False,1000,17.861494222581648,1.108482245551215,4.543888075086805,14.18858154296875,56.08898220486112,150.597065625,187.08786706599156,401.59784722222224
fig10,ours,gavel,max_min_fairness_perf,1.6,1,False,1000,16.135944709506564,1.0859000922309028,4.533720703125,13.367862413194445,51.41681076388891,146.0803178819444,163.29580593750035,167.2575
fig10,ours,gavel,max_min_fairness_perf,1.6,2,False,1000,16.642725485772026,1.0798742065429687,4.630741916232639,13.340270453559029,50.17434852430557,150.8043881944444,203.11329168402958,222.89559027777779
fig10,ours,gavel,max_min_fairness_perf,1.6,all,False,3000,16.880054805953414,1.087080790201823,4.556792534722222,13.62113525390625,52.87318446180555,149.80238628472213,188.21383552083637,401.59784722222224
