name,policy,jobs_per_hr,runtime_sec,jct_sec,utilization,saturated
fig11_finish_time_fairness_perf_1.4000000000000001jph_multi_s1,finish_time_fairness_perf,1.4,320.78,inf,41.74,True
fig11_finish_time_fairness_perf_1.4000000000000001jph_multi_s2,finish_time_fairness_perf,1.4,321.67,inf,47.01,True
fig11_finish_time_fairness_perf_1.6jph_multi_s0,finish_time_fairness_perf,1.6,368.27,inf,46.41,True
fig11_finish_time_fairness_perf_1.6jph_multi_s1,finish_time_fairness_perf,1.6,177.65,inf,47.75,True
fig11_finish_time_fairness_perf_1.6jph_multi_s2,finish_time_fairness_perf,1.6,401.78,inf,56.04,True
fig11_finish_time_fairness_perf_1.8jph_multi_s0,finish_time_fairness_perf,1.8,434.16,inf,56.45,True
fig11_finish_time_fairness_perf_1.8jph_multi_s1,finish_time_fairness_perf,1.8,443.59,inf,57.5,True
fig11_finish_time_fairness_perf_1.8jph_multi_s2,finish_time_fairness_perf,1.8,452.33,inf,65.23,True
fig11_finish_time_fairness_perf_2.2jph_multi_s0,finish_time_fairness_perf,2.2,273.67,46068.35,77.92,True
fig11_finish_time_fairness_perf_2.2jph_multi_s1,finish_time_fairness_perf,2.2,575.42,52000.35,82.84,True
fig11_finish_time_fairness_perf_2.2jph_multi_s2,finish_time_fairness_perf,2.2,569.55,39966.73,86.64,True
fig11_finish_time_fairness_perf_2.4000000000000004jph_multi_s0,finish_time_fairness_perf,2.4000000000000004,4472.82,50438.51,90.23,True
fig11_finish_time_fairness_perf_2.4000000000000004jph_multi_s1,finish_time_fairness_perf,2.4000000000000004,698.76,65741.07,92.53,True
fig11_finish_time_fairness_perf_2.4000000000000004jph_multi_s2,finish_time_fairness_perf,2.4000000000000004,413.83,52211.5,95.41,True
fig11_finish_time_fairness_perf_2.6000000000000005jph_multi_s0,finish_time_fairness_perf,2.6000000000000005,4467.18,73315.83,95.75,True
fig11_finish_time_fairness_perf_2.6000000000000005jph_multi_s1,finish_time_fairness_perf,2.6000000000000005,948.13,83711.48,94.73,True
