metric,demand_pct,policy,mean_value,std_value,n_seeds,paper_value
frag_rate_pct,40,fgd,17.17,0.03,3,16
frag_rate_pct,40,gpuclustering,21.56,0.15,3,21
frag_rate_pct,40,gpupacking,18.24,0.12,3,
frag_rate_pct,40,random,23.72,0.22,3,26
frag_rate_pct,45,bestfit,18.82,0.23,3,
frag_rate_pct,45,dotprod,22.33,0.32,3,
frag_rate_pct,45,fgd,17.77,0.01,3,
frag_rate_pct,45,gpuclustering,22.86,0.38,3,
frag_rate_pct,45,gpupacking,18.99,0.11,3,
frag_rate_pct,45,random,25.21,0.37,3,
frag_rate_pct,50,bestfit,19.67,0.34,3,
frag_rate_pct,50,dotprod,23.6,0.37,3,
frag_rate_pct,50,fgd,18.46,0.04,3,18
frag_rate_pct,50,gpuclustering,24.47,0.13,3,24
frag_rate_pct,50,gpupacking,19.85,0.12,3,
frag_rate_pct,50,random,26.68,0.37,3,31
frag_rate_pct,55,bestfit,20.66,0.35,3,
frag_rate_pct,55,dotprod,25.17,0.37,3,
frag_rate_pct,55,fgd,19.35,0.06,3,
frag_rate_pct,55,gpuclustering,26.14,0.35,3,
frag_rate_pct,55,gpupacking,20.88,0.09,3,
frag_rate_pct,55,random,28.67,0.4,3,
frag_rate_pct,60,bestfit,21.96,0.38,3,
frag_rate_pct,60,dotprod,26.97,0.44,3,
frag_rate_pct,60,fgd,20.49,0.01,3,19
frag_rate_pct,60,gpuclustering,29.14,0.44,3,27
frag_rate_pct,60,gpupacking,22.29,0.06,3,
frag_rate_pct,60,random,31.18,0.48,3,37
frag_rate_pct,65,bestfit,23.68,0.49,3,
frag_rate_pct,65,dotprod,29.55,0.55,3,
frag_rate_pct,65,fgd,21.88,0.01,3,
frag_rate_pct,65,gpuclustering,31.91,0.57,3,
frag_rate_pct,65,gpupacking,24.07,0.16,3,
frag_rate_pct,65,random,34.18,0.53,3,
frag_rate_pct,70,bestfit,25.87,0.65,3,
