scheduler,cause,pct,run
Packing,deficient,68.85465512591942,2
Packing,stranded,17.736240747268276,2
Packing,non_gpu,13.409104126812299,2
Packing,deficient,75.36705288395626,3
Packing,stranded,11.229013190166844,3
Packing,non_gpu,13.403933925876874,3
Packing,deficient,72.11037331565564,4
Packing,stranded,14.478126334509422,4
Packing,non_gpu,13.411500349834943,4
Packing,deficient,74.44406963182671,5
Packing,stranded,12.154103079902704,5
Packing,non_gpu,13.401827288270582,5
Packing,deficient,69.9216308242209,6
Packing,stranded,16.678270437209846,6
Packing,non_gpu,13.400098738569255,6
Packing,deficient,71.25313614091225,7
Packing,stranded,15.359155242432564,7
Packing,non_gpu,13.387708616655198,7
Packing,deficient,76.2638045832339,8
Packing,stranded,10.334242328240505,8
Packing,non_gpu,13.401953088525593,8
Packing,deficient,73.95890617326477,9
Packing,stranded,12.651342184913858,9
Packing,non_gpu,13.38975164182136,9
Clustering,deficient,71.2693275442415,0
Clustering,stranded,15.286809523374439,0
Clustering,non_gpu,13.443862932384052,0
Clustering,deficient,72.84484896067954,1
Clustering,stranded,13.710803357845592,1
Clustering,non_gpu,13.444347681474856,1
Clustering,deficient,68.04762741875561,2
Clustering,stranded,18.51042681058752,2
Clustering,non_gpu,13.441945770656858,2
Clustering,deficient,74.20903149556159,3
Clustering,stranded,12.344624188340838,3
Clustering,non_gpu,13.446344316097553,3
Clustering,deficient,72.45616163718674,4
Clustering,stranded,14.098935295822312,4
Clustering,non_gpu,13.44490306699096,4
Clustering,deficient,73.53853608846572,5
Clustering,stranded,13.018987452559049,5
Clustering,non_gpu,13.442476458975234,5
Clustering,deficient,72.9827611511483,6
Clustering,stranded,13.576215760789692,6
Clustering,non_gpu,13.44102308806201,6
Clustering,deficient,72.39664577981543,7
Clustering,stranded,14.164961657294278,7
Clustering,non_gpu,13.438392562890295,7
Clustering,deficient,74.0804214386662,8
Clustering,stranded,12.475854307559816,8
Clustering,non_gpu,13.443724253773977,8
Clustering,deficient,75.19434578878081,9
Clustering,stranded,11.362893406734855,9
Clustering,non_gpu,13.44276080448433,9
FGD,deficient,73.75922340123545,0
FGD,stranded,12.8365956683322,0
FGD,non_gpu,13.404180930432346,0
FGD,deficient,72.93574548413808,1
FGD,stranded,13.660616197251615,1
FGD,non_gpu,13.403638318610309,1
FGD,deficient,71.05162404844747,2
FGD,stranded,15.547977746220907,2
FGD,non_gpu,13.400398205331626,2
FGD,deficient,67.3115191081345,3
FGD,stranded,19.285836364366872,3
FGD,non_gpu,13.402644527498634,3
FGD,deficient,74.09135805644453,4
FGD,stranded,12.50900457414604,4
FGD,non_gpu,13.399637369409437,4
FGD,deficient,72.18846341907536,5
FGD,stranded,14.41455794273358,5
FGD,non_gpu,13.396978638191065,5
FGD,deficient,72.17063300131348,6
FGD,stranded,14.429401360712586,6
FGD,non_gpu,13.399965637973937,6
FGD,deficient,72.40443607370068,7
FGD,stranded,14.199184522667444,7
FGD,non_gpu,13.396379403631883,7
FGD,deficient,73.63991439149544,8
FGD,stranded,12.95290549590603,8
FGD,non_gpu,13.40718011259853,8
FGD,deficient,72.43087203328047,9
FGD,stranded,14.163961844181571,9
FGD,non_gpu,13.405166122537942,9
