scheduler,cause,pct,run
DotProd,stranded,44.4334325393072,3
DotProd,non_gpu,13.401259389348544,3
DotProd,deficient,40.26563070376754,4
DotProd,stranded,46.33274890454636,4
DotProd,non_gpu,13.4016203916861,4
DotProd,deficient,38.38815262117162,5
DotProd,stranded,48.20943135303102,5
DotProd,non_gpu,13.40241602579736,5
DotProd,deficient,40.44200732375938,6
DotProd,stranded,46.15780697843781,6
DotProd,non_gpu,13.400185697802804,6
DotProd,deficient,38.56916259830251,7
DotProd,stranded,48.028851698484985,7
DotProd,non_gpu,13.401985703212505,7
DotProd,deficient,42.460362635933045,8
DotProd,stranded,44.135199214152834,8
DotProd,non_gpu,13.404438149914128,8
DotProd,deficient,40.72328587298891,9
DotProd,stranded,45.876712154698765,9
DotProd,non_gpu,13.400001972312332,9
Packing,deficient,70.37040088917675,0
Packing,stranded,16.228216960944604,0
Packing,non_gpu,13.401382149878657,0
Packing,deficient,72.31897363017697,1
Packing,stranded,14.282890386289473,1
Packing,non_gpu,13.398135983533537,1
Packing,deficient,68.85259966806963,2
Packing,stranded,17.737411262329747,2
Packing,non_gpu,13.409989069600622,2
Packing,deficient,75.36626354169155,3
Packing,stranded,11.229373014537847,3
Packing,non_gpu,13.404363443770581,3
Packing,deficient,72.10870229574422,4
Packing,stranded,14.478993798160285,4
Packing,non_gpu,13.412303906095488,4
Packing,deficient,74.44265597642156,5
Packing,stranded,12.154775397962203,5
Packing,non_gpu,13.402568625616246,5
Packing,deficient,69.91899194641596,6
Packing,stranded,16.679733678698252,6
Packing,non_gpu,13.401274374885794,6
Packing,deficient,71.25124736485368,7
Packing,stranded,15.36016439615604,7
Packing,non_gpu,13.388588238990284,7
Packing,deficient,76.26303074430787,8
Packing,stranded,10.334579241500796,8
Packing,non_gpu,13.402390014191345,8
Packing,deficient,73.95762288509606,9
Packing,stranded,12.6519656348293,9
Packing,non_gpu,13.390411480074638,9
Clustering,deficient,71.26667245064976,0
Clustering,stranded,15.288222226473069,0
Clustering,non_gpu,13.445105322877179,0
Clustering,deficient,72.84326486024547,1
Clustering,stranded,13.711603179931622,1
Clustering,non_gpu,13.445131959822904,1
Clustering,deficient,68.0449612834701,2
Clustering,stranded,18.511971337584516,2
Clustering,non_gpu,13.443067378945381,2
Clustering,deficient,74.2078774641999,3
Clustering,stranded,12.345176555478947,3
Clustering,non_gpu,13.446945980321154,3
Clustering,deficient,72.45445815026275,4
Clustering,stranded,14.099807264049907,4
Clustering,non_gpu,13.445734585687338,4
Clustering,deficient,73.53692877845218,5
Clustering,stranded,13.019778245879051,5
Clustering,non_gpu,13.443292975668777,5
Clustering,deficient,72.98139774133014,6
Clustering,stranded,13.57690087691,6
Clustering,non_gpu,13.441701381759849,6
Clustering,deficient,72.3947031539922,7
Clustering,stranded,14.165958536879314,7
Clustering,non_gpu,13.439338309128496,7
Clustering,deficient,74.07861942399367,8
Clustering,stranded,12.476721670139083,8
Clustering,non_gpu,13.444658905867232,8
Clustering,deficient,75.19323515746386,9
Clustering,stranded,11.363402161116467,9
Clustering,non_gpu,13.443362681419671,9
FGD,deficient,80.11690455099675,0
FGD,stranded,6.418869028045593,0
FGD,non_gpu,13.46422642095767,0
FGD,deficient,84.1565626748544,1
FGD,stranded,2.3872948776499032,1
FGD,non_gpu,13.4561424474957,1
FGD,deficient,81.7544286417667,2
FGD,stranded,4.7913765806362925,2
FGD,non_gpu,13.454194777597014,2
FGD,deficient,82.52607426479835,3
FGD,stranded,4.016876325459248,3
FGD,non_gpu,13.457049409742394,3
FGD,deficient,80.5803383017302,4
FGD,stranded,5.962707995577061,4
FGD,non_gpu,13.456953702692747,4
FGD,deficient,80.66157246206525,5
FGD,stranded,5.883378153765956,5
FGD,non_gpu,13.455049384168788,5
FGD,deficient,82.50682247151683,6
FGD,stranded,4.035419624038781,6
FGD,non_gpu,13.457757904444387,6
FGD,deficient,79.43461354171707,7
FGD,stranded,7.112251640175487,7
FGD,non_gpu,13.453134818107436,7
FGD,deficient,81.54662105868451,8
FGD,stranded,4.992917097155688,8
FGD,non_gpu,13.460461844159802,8
FGD,deficient,81.80230311390665,9
FGD,stranded,4.744762172434979,9
FGD,non_gpu,13.452934713658374,9
