scheduler,arrived_workload_pct,frag_rate,run
BestFit,40.0,17.847109134801222,0
BestFit,45.0,18.764407951750524,0
BestFit,50.0,19.819933043304317,0
BestFit,55.0,21.000130217629025,0
BestFit,60.0,22.515556525147336,0
BestFit,65.0,24.532755719623424,0
BestFit,70.0,27.529996032128373,0
BestFit,75.0,31.483047862376658,0
BestFit,80.0,37.24858132454752,0
BestFit,85.0,47.15183181405022,0
BestFit,90.0,67.53547582962206,0
BestFit,95.0,99.62990877429537,0
BestFit,100.0,99.65840956145283,0
BestFit,105.0,99.6625236704048,0
BestFit,110.0,99.66861153217434,0
BestFit,115.0,99.68594120285907,0
BestFit,120.0,99.70532891819471,0
BestFit,5.0,14.187726925629585,1
BestFit,10.0,14.62784802870179,1
BestFit,15.0,14.997417187224485,1
BestFit,20.0,15.551666848114365,1
BestFit,25.0,16.086849879128586,1
BestFit,30.0,16.644805307828445,1
BestFit,35.0,17.30102485356315,1
BestFit,40.0,17.960490373113675,1
BestFit,45.0,18.74570507946136,1
BestFit,50.0,19.777136185938893,1
BestFit,55.0,21.038256650117297,1
BestFit,60.0,22.416949316570967,1
BestFit,65.0,24.435044323049684,1
BestFit,70.0,27.196703759272147,1
BestFit,75.0,30.776569118617747,1
BestFit,80.0,36.484933834764114,1
BestFit,85.0,46.004956642859355,1
BestFit,90.0,66.0272256591591,1
BestFit,95.0,99.6665416453218,1
BestFit,100.0,99.67572280280335,1
BestFit,105.0,99.68531619548651,1
BestFit,110.0,99.6898651566453,1
BestFit,115.0,99.6985474538572,1
BestFit,120.0,99.70954829585116,1
BestFit,5.0,14.177131830485873,2
BestFit,10.0,14.57700806764492,2
BestFit,15.0,14.894495374160774,2
BestFit,20.0,15.332537124782627,2
BestFit,25.0,15.772696972273204,2
BestFit,30.0,16.326377035321016,2
BestFit,35.0,16.95152738120749,2
BestFit,40.0,17.85226300607251,2
BestFit,45.0,18.70481138451043,2
BestFit,50.0,19.845436133891432,2
BestFit,55.0,21.27904991688227,2
BestFit,60.0,22.769669314030356,2
BestFit,65.0,24.9405590366234,2
BestFit,70.0,27.855041805767556,2
BestFit,75.0,32.16780717537781,2
BestFit,80.0,38.453096687230534,2
BestFit,85.0,48.52514884771944,2
BestFit,90.0,68.61011240464153,2
BestFit,95.0,99.69098018065758,2
BestFit,100.0,99.69538946979473,2
BestFit,105.0,99.70628430425694,2
BestFit,110.0,99.71436675892424,2
BestFit,115.0,99.72127482040482,2
BestFit,120.0,99.72999181708025,2
DotProd,5.0,15.882107593145033,0
DotProd,10.0,16.894053831922953,0
DotProd,15.0,17.265937945640964,0
DotProd,20.0,17.798898417252786,0
DotProd,25.0,18.508026243219508,0
DotProd,30.0,19.358408746859617,0
DotProd,35.0,20.38618190022832,0
DotProd,40.0,21.515482544504952,0
DotProd,45.0,23.311688934841623,0
DotProd,50.0,25.190410182876597,0
DotProd,55.0,27.27848176740198,0
